station_name,station_code,state_name,day,std_min,lat,lng,stop,platform_number,food_available,hotel_available,hospital_available
BARAKAR,BRR,WEST BENGAL,2,1511,23.7420029,86.819179,True,1,False,False,False
KUMARDUBI,KMME,JHARKHAND,2,1514,23.747483,86.794095,False,0,False,False,False
MUGMA,MMU,JHARKHAND,2,1520,23.751804,86.748004,False,0,False,False,False
THAPAR NAGAR,TNW,JHARKHAND,2,1528,23.768968,86.70114,False,0,False,True,False
KALUBATHAN,KAO,JHARKHAND,2,1533,23.758599,86.661744,False,0,False,True,False
CHHOTA AMBANA,CAM,JHARKHAND,2,1545,23.76272318,86.57458305,False,0,False,False,False
PRADHANKHUNTA,PKA,JHARKHAND,2,1553,23.77266,86.516047,False,0,False,True,False
DOKRA HALT,DOKM,JHARKHAND,2,1559,23.782674,86.480598,False,0,False,True,False
DHANBAD JN,DHN,JHARKHAND,2,1570,23.791196,86.429186,True,3,False,True,True
BHULI,BHN,JHARKHAND,2,1573,23.8018372592,86.3942527771,False,0,False,True,False
TETULMARI,TET,JHARKHAND,2,1578,23.814441,86.34357,False,0,False,False,False
NICHITPUR,NPJE,JHARKHAND,2,1583,23.825708,86.287565,False,0,False,False,False
MATARI,MRQ,JHARKHAND,2,1588,23.840469,86.238985,False,0,False,False,False
GOMOH JN,GMO,Jharkhand,2,1606,23.872966,86.14809,True,3,False,True,True
BHOLLDIH,BLME,JHARKHAND,2,1610,23.898394,86.116848,False,0,False,False,False
NIMIAGHAT,NMG,JHARKHAND,2,1614,23.932172,86.076293,False,0,False,False,False
XX-PNEC,XX-PNEC,,2,1620,,,False,0,False,False,False
PARASNATH,PNME,JHARKHAND,2,1622,23.987821,86.037712,True,3,False,True,False
XX-PNWC,XX-PNWC,,2,1622,,,False,0,False,False,False
CHEGRO,CEME,JHARKHAND,2,1626,24.0842385151,85.964756012,False,0,False,False,False
CHAUDHRIBANDH,CDB,JHARKHAND,2,1630,24.1120528783,85.9466457367,False,0,False,False,False
KARMABAD BH,KRMB,JHARKHAND,2,1634,24.07891,85.974026,False,0,False,False,False
CHICHAKI,CCK,JHARKHAND,2,1637,24.053204666,85.9917068481,False,0,False,False,False
GAREA BIHAR,GRBH,JHARKHAND,2,1641,24.1287385964,85.9153175354,False,0,False,False,False
HAZARIBAGH ROAD,HZD,JHARKHAND,2,1648,24.174163,85.891615,True,2,False,False,False
KESHWARI,KSHR,JHARKHAND,2,1651,24.194833,85.864162,False,0,False,False,False
CHAUBE,CBH,JHARKHAND,2,1655,24.2370252691,85.8157539368,False,0,False,False,False
DASARA,DSME,JHARKHAND,2,1659,24.2743522656,85.790605545,False,0,False,False,False
