station_name,station_code,state_name,lat,lng,track_age_years
DASARA,DSME,JHARKHAND,24.2743522656,85.790605545,18
PARSABAD,PSB,JHARKHAND,24.307679,85.73885,34
YADUDIH,YDD,JHARKHAND,24.330205,85.701229,35
SARMATANR,SMND,JHARKHAND,24.3441251011,85.6579327583,23
HIRODIH,HRE,JHARKHAND,24.38271,85.596328,24
LARABAD,LRB,JHARKHAND,24.407451,85.562553,33
KODERMA,KQR,JHARKHAND,24.434491,85.529208,29
GUJHANDI,GJD,JHARKHAND,24.497771,85.463333,20
LALBAG BH,LBZ,JHARKHAND,24.509642,85.446682,30
DILWA,DLW,JHARKHAND,24.53759788,85.41998863,27
NATH GANJ,NGY,BIHAR,24.545406,85.384884,28
BASKATWA B. H.,BSCP,BIHAR,24.547123,85.365658,25
YADUGRAM BH,YGM,BIHAR,24.543219,85.323944,12
GURPA,GAP,BIHAR,24.562112,85.29665,8
PAHARPUR,PRP,BIHAR,24.625172,85.204811,29
BANSINALA HALT,BNSL,BIHAR,24.66519241,85.16172409,19
TANKUPPA,TKN,BIHAR,24.703796,85.119152,16
BANDHUA,BNF,BIHAR,24.75205374,85.06628037,33
MANPUR JN,MPO,BIHAR,24.806681,85.044308,19
SHAHEED ISHWAR CHOWDHARY HALT,SICY,BIHAR,24.8075481103,85.0286972523,10
GAYA JN,GAYA,BIHAR,24.804188,84.999504,17
WEST CABIN GAYA,WCB,BIHAR,24.799046,84.971669,30
KASTHA,KSTA,BIHAR,24.802474,84.921741,19
PARAIYA,PRY,BIHAR,24.809174,84.850502,17
GURARU,GRRU,BIHAR,24.810733,84.791451,29
ISMAILPUR,IMGE,BIHAR,24.815563,84.723473,35
RAFIGANJ,RFJ,BIHAR,24.819614,84.634724,18
DEO ROAD,DORD,BIHAR,24.8229636763,84.5633125305,10
JAKHIM,JHN,BIHAR,24.8292734748,84.5261478424,33
BAGHOI KUSA,BHKH,BIHAR,24.8401006513,84.4626331329,30
PHESAR,PES,BIHAR,24.845319,84.417915,31
ANUGRAHA NARAYAN ROAD,AUBR,BIHAR,24.8555556,84.3294444,21
CHIRAILA,CPBH,BIHAR,24.863388,84.268913,10
SON NAGAR,SEB,BIHAR,24.882543,84.229603,21
ADSR,ADSR,BIHAR,24.909715,84.192584,32
DEHRI ON SONE,DOS,BIHAR,24.914775,84.185314,33
PAHALEJA HALT,PHE,BIHAR,24.933144,84.145317,33
KARWANDIA,KWD,BIHAR,24.953145,84.084549,27
SASARAM,SSM,BIHAR,24.956336,84.019833,12
KUMAHU,KMGE,BIHAR,24.977344,83.946705,23
SHIU SAGAR ROAD,SSG,BIHAR,24.999905,83.895893,19
KHURMABAD ROAD,KVD,BIHAR,25.021529,83.848343,11
KUDRA,KTQ,BIHAR,25.048592,83.793411,28
PUSAULI,PSE,BIHAR,25.097725,83.722,13
MUTHANI,MTGE,BIHAR,25.173097,83.619003,30
